N.;Direccion;Proyecto;Localidad
367;KR 10A 3 40;SAN BERNARDO;SAN BERNARDO
368;CL 4 11B 03;SAN BERNARDO;SAN BERNARDO
369;CL 4 11 39;SAN BERNARDO;SAN BERNARDO
370;KR 11A 4A 10;SAN BERNARDO;SAN BERNARDO
371;CL 5 10A 35;SAN BERNARDO;SAN BERNARDO
372;CL 4 11B 05;SAN BERNARDO;SAN BERNARDO
373;KR 12 4 24;SAN BERNARDO;SAN BERNARDO
374;CL 5 10A 38;SAN BERNARDO;SAN BERNARDO
375;KR 11B 3 78;SAN BERNARDO;SAN BERNARDO
376;CL 5 12A 76;SAN BERNARDO;SAN BERNARDO
377;CL 4 11A 33;SAN BERNARDO;SAN BERNARDO
378;KR 11A 3 79;SAN BERNARDO;SAN BERNARDO
379;KR 11A 3 26;SAN BERNARDO;SAN BERNARDO
380;KR 11A 3 69;SAN BERNARDO;SAN BERNARDO
381;KR 10A 3 22;SAN BERNARDO;SAN BERNARDO
382;CL 3A 10 62 AP 201;SAN BERNARDO;SAN BERNARDO
383;KR 11 3 35;SAN BERNARDO;SAN BERNARDO
384;CL 3 11B 10;SAN BERNARDO;SAN BERNARDO
