N.;Folio;Chip;Direccion;Proyecto
306;50C00063124;AAA0032SPEA;CL 4A 11A 68;SAN BERNARDO
307;50C01238338;AAA0032SSBS;KR 11 4 23;SAN BERNARDO
308;50C01500446;AAA0153LEJH;CL 5 11A 37;SAN BERNARDO
309;50C00771318;AAA0032TFWW;KR 11 3 73;SAN BERNARDO
310;50C00587444;AAA0032STCX;KR 11B 3 87;SAN BERNARDO
311;50C01262340;AAA0032SOOM;CL 4 11B 16;SAN BERNARDO
312;50C01205761;AAA0032TSBR;KR 11 4 66;SAN BERNARDO
313;50C00199700;AAA0032SORJ;KR 12 4 12;SAN BERNARDO
314;50C00611535;AAA0032TSLW;CL 5 10A 21;SAN BERNARDO
315;50C00022148;AAA0032SOSY;KR 12 4 20;SAN BERNARDO
316;50C00937460;AAA0032SRMS;CL 5 11 31;SAN BERNARDO
317;50C01369983;AAA0032SXCX;CL 4 11A 17;SAN BERNARDO
318;50C00733796;AAA0032TOKL;KR 10A 5 33;SAN BERNARDO
319;50C01423040;AAA0032TOMS;KR 10A 5 23;SAN BERNARDO
320;50C01496552;AAA0032TOLW;KR 10A 5 27;SAN BERNARDO
321;50C00500155;AAA0032TOSK;CL 5 10A 20;SAN BERNARDO
322;50C00888072;AAA0032TWFT;CL 3A 10 62 CN 102;SAN BERNARDO
323;50C01428017;AAA0032TOWF;CL 5 10A 28;SAN BERNARDO
324;50C00640507;AAA0032TTZE;CL 3 10A 08;SAN BERNARDO
